2765,997/1180/2765/,Software & Licensing / Software Management & Collaboration Licensing / Software Messaging Server Licensing,Software Messaging Server Licensing,3427988,Software & Licensing > Software Management & Collaboration Licensing > Software Messaging Server Licensing,Match,3,3427972,update product_category set plankton_id='3427988' where id=2765;
4108,997/1180/4108/,Software & Licensing / Software Management & Collaboration Licensing / Software Network Licensing,Software Network Licensing,6485120720,Software & Licensing > Software Management & Collaboration Licensing > Software Network Licensing,Match,3,3427972,update product_category set plankton_id='6485120720' where id=4108;
3741,997/1180/3741/,Software & Licensing / Software Management & Collaboration Licensing / Software Property Management Licensing,Software Property Management Licensing,3428004,Software & Licensing > Software Management & Collaboration Licensing > Software Property Management Licensing,Match,3,3427972,update product_category set plankton_id='3428004' where id=3741;
3813,997/1180/3813/,Software & Licensing / Software Management & Collaboration Licensing / Software Remote Access Licensing,Software Remote Access Licensing,3428020,Software & Licensing > Software Management & Collaboration Licensing > Software Remote Access Licensing,Match,3,3427972,update product_category set plankton_id='3428020' where id=3813;
1173,997/1173/,Software & Licensing / Software Media Kit,Software Media Kit,3428333,Software & Licensing > Software Media Kit,Match,2,3427485,update product_category set plankton_id='3428333' where id=1173;
4155,997/1173/4155/,Software & Licensing / Software Media Kit / Media Kit for Office & Business,Media Kit for Office & Business,3428349,Software & Licensing > Software Media Kit > Media Kit for Office & Business,Match,3,3428333,update product_category set plankton_id='3428349' where id=4155;
2529,2529/,Software Multimedia Licensing,Software Multimedia Licensing,3427604,Software & Licensing > Software Multimedia Licensing,Not Match,2,3427485,update product_category set plankton_id='3427604' where id=2529;
3900,2529/3900/,Software Multimedia Licensing / Software Animation / 3d Licensing,Software Animation / 3d Licensing,3427668,Software & Licensing > Software Multimedia Licensing > Software Animation / 3d Licensing,Not Match,3,3427604,update product_category set plankton_id='3427668' where id=3900;
2530,2529/2530/,Software Multimedia Licensing / Software Audio Recording/Editing Licensing,Software Audio Recording/Editing Licensing,3427700,Software & Licensing > Software Multimedia Licensing > Software Audio Recording/Editing Licensing,Not Match,3,3427604,update product_category set plankton_id='3427700' where id=2530;
3593,2529/3593/,Software Multimedia Licensing / Software Desktop Publishing Licensing,Software Desktop Publishing Licensing,3427652,Software & Licensing > Software Multimedia Licensing > Software Desktop Publishing Licensing,Not Match,3,3427604,update product_category set plankton_id='3427652' where id=3593;
3577,2529/3577/,Software Multimedia Licensing / Software Illustration / Design Licensing,Software Illustration / Design Licensing,3427636,Software & Licensing > Software Multimedia Licensing > Software Illustration / Design Licensing,Not Match,3,3427604,update product_category set plankton_id='3427636' where id=3577;
3648,2529/3648/,Software Multimedia Licensing / Software Photo Editing Licensing,Software Photo Editing Licensing,3427620,Software & Licensing > Software Multimedia Licensing > Software Photo Editing Licensing,Not Match,3,3427604,update product_category set plankton_id='3427620' where id=3648;
2659,2529/2659/,Software Multimedia Licensing / Software Video Capture / Editing Licensing,Software Video Capture / Editing Licensing,3427684,Software & Licensing > Software Multimedia Licensing > Software Video Capture / Editing Licensing,Not Match,3,3427604,update product_category set plankton_id='3427684' where id=2659;
3479,3479/,Software Office & Business Licensing,Software Office & Business Licensing,3427780,Software & Licensing > Software Office & Business Licensing,Not Match,2,3427485,update product_category set plankton_id='3427780' where id=3479;
3744,3479/3744/,Software Office & Business Licensing / Software Accounting Licensing,Software Accounting Licensing,3427812,Software & Licensing > Software Office & Business Licensing > Software Accounting Licensing,Not Match,3,3427780,update product_category set plankton_id='3427812' where id=3744;
