"id","parent_path","name","complete_name","parent_id","create_uid","create_date","write_uid","write_date","removal_strategy_id","category_code","category_level","account_intransit","account_srt_id","property_stock_reval_account_input_categ_id","property_stock_reval_account_output_categ_id","allow_negative_stock"
600,"600/",Produk Prabayar & Voucher,Produk Prabayar & Voucher,,1,2022-12-19 08:18:41.303,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
601,"600/601/",Internal Produk Prabayar & Voucher,Produk Prabayar & Voucher / Internal Produk Prabayar & Voucher,600,1,2022-12-19 08:18:41.303,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4127,"600/601/4127/",Merchandise Vdr Produk Prabayar & Voucher,Produk Prabayar & Voucher / Internal Produk Prabayar & Voucher / Merchandise Vdr Produk Prabayar & Voucher,601,1,2022-12-19 08:19:55.979,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1004,"600/1004/",Uang Elektronik / e-Payment,Produk Prabayar & Voucher / Uang Elektronik / e-Payment,600,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3131,"600/1004/3131/",E-Payment Accessory,Produk Prabayar & Voucher / Uang Elektronik / e-Payment / E-Payment Accessory,1004,1,2022-12-19 08:19:30.485,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2991,"600/1004/2991/",E-Toll Pass,Produk Prabayar & Voucher / Uang Elektronik / e-Payment / E-Toll Pass,1004,1,2022-12-19 08:19:27.542,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
923,"923/",Projector / Proyektor,Projector / Proyektor,,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
924,"923/924/",Proyektor Dokumen Kamera / Ohp,Projector / Proyektor / Proyektor Dokumen Kamera / Ohp,923,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1037,"923/1037/",Proyektor Home Theater,Projector / Proyektor / Proyektor Home Theater,923,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3948,"923/3948/",Proyektor Interaktif,Projector / Proyektor / Proyektor Interaktif,923,1,2022-12-19 08:19:51.366,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
